"","wmon","membership_start","membership_end","fmisid","station_name","station_start","sattion_end","loc_id","loc_start","loc_end","h","lon","lat","lsm","z_oro","lsm_41r2","z_oro_41r2","lpnn"
"2048",6620,1700-01-01,9999-12-31,115009,"Schaffhausen","1700-01-01 00:00:00","9999-12-31 00:00:00",13429,"1700-01-01 00:00:00","9999-12-31 00:00:00",438,8.62,47.68972,100,526.31,100,504.66,NA
"2049",6621,1700-01-01,9999-12-31,115010,"Guettingen","1700-01-01 00:00:00","9999-12-31 00:00:00",13430,"1700-01-01 00:00:00","9999-12-31 00:00:00",440,9.27944,47.60166,100,477.85,80.8,446.97,NA
"2051",6623,1700-01-01,9999-12-31,115012,"Salen-Reutenen","1700-01-01 00:00:00","9999-12-31 00:00:00",13432,"1700-01-01 00:00:00","9999-12-31 00:00:00",718,9.02388,47.65111,100,477.44,100,480.15,NA
"2052",6624,1700-01-01,9999-12-31,115013,"Hallau","1700-01-01 00:00:00","9999-12-31 00:00:00",13433,"1700-01-01 00:00:00","9999-12-31 00:00:00",419,8.47055,47.69722,100,561.16,100,552.01,NA
"2053",6625,1700-01-01,9999-12-31,115014,"Fribourg / Posieux","1700-01-01 00:00:00","9999-12-31 00:00:00",13434,"1700-01-01 00:00:00","9999-12-31 00:00:00",646,7.11361,46.77138,100,786.63,100,758.29,NA
"2054",6626,1700-01-01,9999-12-31,115015,"Goesgen","1700-01-01 00:00:00","9999-12-31 00:00:00",13435,"1700-01-01 00:00:00","9999-12-31 00:00:00",380,7.97361,47.36305,100,522.7,100,537.31,NA
"2055",6627,1700-01-01,9999-12-31,115016,"Chateau-D'Oex","1700-01-01 00:00:00","9999-12-31 00:00:00",13436,"1700-01-01 00:00:00","9999-12-31 00:00:00",1029,7.13972,46.47972,100,1398.46,100,1449.52,NA
"2056",6628,1700-01-01,9999-12-31,114906,"Plaffeien","1700-01-01 00:00:00","9999-12-31 00:00:00",13296,"1700-01-01 00:00:00","9999-12-31 00:00:00",1042,7.26611,46.74777,100,1010.81,100,1057.44,NA
"2059",6631,1700-01-01,9999-12-31,115134,"Bern / Zollikofen","1700-01-01 00:00:00","9999-12-31 00:00:00",13677,"1700-01-01 00:00:00","9999-12-31 00:00:00",553,7.46388,46.99083,100,597.97,100,565.83,NA
"2060",6632,1700-01-01,9999-12-31,114908,"Grenchen","1700-01-01 00:00:00","9999-12-31 00:00:00",13298,"1700-01-01 00:00:00","9999-12-31 00:00:00",430,7.415,47.17916,100,632.85,100,636.19,NA
"2061",6633,1700-01-01,9999-12-31,115018,"Buchs / Aarau","1700-01-01 00:00:00","9999-12-31 00:00:00",13439,"1700-01-01 00:00:00","9999-12-31 00:00:00",387,8.07944,47.38444,100,506.78,100,504.59,NA
"2063",6635,1700-01-01,9999-12-31,115020,"Koppigen","1700-01-01 00:00:00","9999-12-31 00:00:00",13441,"1700-01-01 00:00:00","9999-12-31 00:00:00",484,7.60555,47.11888,100,591,100,577.45,NA
"2064",6636,1700-01-01,9999-12-31,115021,"Muehleberg","1700-01-01 00:00:00","9999-12-31 00:00:00",13442,"1700-01-01 00:00:00","9999-12-31 00:00:00",480,7.27805,46.97333,100,557.07,100,522.2,NA
"2065",6637,1700-01-01,9999-12-31,115022,"Meiringen","1700-01-01 00:00:00","9999-12-31 00:00:00",13443,"1700-01-01 00:00:00","9999-12-31 00:00:00",589,8.16916,46.73222,100,1645.05,100,1617.85,NA
"2066",6638,1700-01-01,9999-12-31,115023,"Langnau I.E.","1700-01-01 00:00:00","9999-12-31 00:00:00",352951,"1700-01-01 00:00:00","9999-12-31 00:00:00",755,7.80722,46.94,100,943.62,100,986.01,NA
"2067",6639,1700-01-01,9999-12-31,114909,"Napf","1700-01-01 00:00:00","9999-12-31 00:00:00",13299,"1700-01-01 00:00:00","9999-12-31 00:00:00",1404,7.94,47.00472,100,921.34,100,977.75,NA
"2069",6641,1700-01-01,9999-12-31,115025,"Moehlin","1700-01-01 00:00:00","9999-12-31 00:00:00",13446,"1700-01-01 00:00:00","9999-12-31 00:00:00",344,7.87777,47.57222,100,523.08,100,499.28,NA
"2071",6643,1700-01-01,9999-12-31,114911,"Wynau","1700-01-01 00:00:00","9999-12-31 00:00:00",13301,"1700-01-01 00:00:00","9999-12-31 00:00:00",422,7.7875,47.255,100,584.45,100,562.26,NA
"2072",6644,1700-01-01,9999-12-31,115026,"Mosen","1700-01-01 00:00:00","9999-12-31 00:00:00",13447,"1700-01-01 00:00:00","9999-12-31 00:00:00",452,8.23277,47.24388,100,550.93,100,555.37,NA
"2073",6645,1700-01-01,9999-12-31,115027,"Ruenenberg","1700-01-01 00:00:00","9999-12-31 00:00:00",13448,"1700-01-01 00:00:00","9999-12-31 00:00:00",611,7.87944,47.43444,100,517.88,100,537.37,NA
"2074",6646,1700-01-01,9999-12-31,115028,"Beznau","1700-01-01 00:00:00","9999-12-31 00:00:00",13449,"1700-01-01 00:00:00","9999-12-31 00:00:00",325,8.23333,47.55722,100,499.42,100,466.36,NA
"2076",6648,1700-01-01,9999-12-31,115030,"Egolzwil","1700-01-01 00:00:00","9999-12-31 00:00:00",13451,"1700-01-01 00:00:00","9999-12-31 00:00:00",521,8.00472,47.17944,100,626.48,100,625.93,NA
"2078",6650,1700-01-01,9999-12-31,115031,"Luzern","1700-01-01 00:00:00","9999-12-31 00:00:00",13452,"1700-01-01 00:00:00","9999-12-31 00:00:00",454,8.30083,47.03638,100,739.33,100,711.45,NA
"2079",6651,1700-01-01,9999-12-31,115032,"Schuepfheim","1700-01-01 00:00:00","9999-12-31 00:00:00",13453,"1700-01-01 00:00:00","9999-12-31 00:00:00",742,8.01222,46.94694,100,1053.54,100,1094.36,NA
"2083",6655,1700-01-01,9999-12-31,150368,"Engelberg","1700-01-01 00:00:00","9999-12-31 00:00:00",38007,"1700-01-01 00:00:00","9999-12-31 00:00:00",1036,8.41055,46.82194,100,1614.58,100,1681.52,NA
"2084",6656,1700-01-01,9999-12-31,115034,"Brienz","1700-01-01 00:00:00","9999-12-31 00:00:00",13455,"1700-01-01 00:00:00","9999-12-31 00:00:00",567,8.06083,46.74083,100,1457.26,100,1435.67,NA
"2085",6657,1700-01-01,9999-12-31,114916,"Giswil","1700-01-01 00:00:00","9999-12-31 00:00:00",13306,"1700-01-01 00:00:00","9999-12-31 00:00:00",475,8.19027,46.84944,100,1267.72,100,1293.68,NA
"2087",6659,1700-01-01,9999-12-31,115035,"Pilatus","1700-01-01 00:00:00","9999-12-31 00:00:00",13456,"1700-01-01 00:00:00","9999-12-31 00:00:00",2106,8.25222,46.97888,100,885.97,100,879.37,NA
"2088",6660,1700-01-01,9999-12-31,114918,"Zuerich / Fluntern","1700-01-01 00:00:00","9999-12-31 00:00:00",13308,"1700-01-01 00:00:00","9999-12-31 00:00:00",556,8.56583,47.37777,100,512.46,100,494.91,NA
"2092",6664,1700-01-01,9999-12-31,115036,"Zuerich / Affoltern","1700-01-01 00:00:00","9999-12-31 00:00:00",13457,"1700-01-01 00:00:00","9999-12-31 00:00:00",444,8.51777,47.42777,100,487.71,100,482.82,NA
"2093",6666,1700-01-01,9999-12-31,115037,"Leibstadt","1700-01-01 00:00:00","9999-12-31 00:00:00",13458,"1700-01-01 00:00:00","9999-12-31 00:00:00",341,8.18833,47.59722,100,540.51,100,500.37,NA
"2095",6669,1700-01-01,9999-12-31,114921,"Laegern","1700-01-01 00:00:00","9999-12-31 00:00:00",13311,"1700-01-01 00:00:00","9999-12-31 00:00:00",845,8.39722,47.48194,100,463.05,100,463.73,NA
"2096",6670,1700-01-01,9999-12-31,114922,"Zuerich / Klote","1700-01-01 00:00:00","9999-12-31 00:00:00",13312,"1700-01-01 00:00:00","9999-12-31 00:00:00",426,8.53583,47.47972,100,472.21,100,478.58,NA
"2097",6671,1700-01-01,9999-12-31,115038,"Steckborn","1700-01-01 00:00:00","9999-12-31 00:00:00",13459,"1700-01-01 00:00:00","9999-12-31 00:00:00",398,8.98138,47.66861,100,478.28,100,474.84,NA
"2098",6672,1700-01-01,9999-12-31,114923,"Altdorf","1700-01-01 00:00:00","9999-12-31 00:00:00",13313,"1700-01-01 00:00:00","9999-12-31 00:00:00",438,8.62166,46.88694,100,1456.88,100,1431.01,NA
"2099",6673,1700-01-01,9999-12-31,115039,"Waedenswil","1700-01-01 00:00:00","9999-12-31 00:00:00",13460,"1700-01-01 00:00:00","9999-12-31 00:00:00",485,8.67777,47.22055,100,682.74,100,668.02,NA
"2100",6674,1700-01-01,9999-12-31,115040,"Cham","1700-01-01 00:00:00","9999-12-31 00:00:00",13461,"1700-01-01 00:00:00","9999-12-31 00:00:00",440,8.46555,47.18833,100,584.97,100,553.44,NA
"2101",6675,1700-01-01,9999-12-31,115041,"Einsiedeln","1700-01-01 00:00:00","9999-12-31 00:00:00",13462,"1700-01-01 00:00:00","9999-12-31 00:00:00",910,8.75638,47.13305,100,881.51,100,949.29,NA
"2102",6676,1700-01-01,9999-12-31,115042,"Oberaegeri","1700-01-01 00:00:00","9999-12-31 00:00:00",13463,"1700-01-01 00:00:00","9999-12-31 00:00:00",724,8.60805,47.13361,100,743.66,100,778.26,NA
"2105",6679,1700-01-01,9999-12-31,115044,"Aadorf / Taenikon","1700-01-01 00:00:00","9999-12-31 00:00:00",13465,"1700-01-01 00:00:00","9999-12-31 00:00:00",539,8.905,47.48,100,576.32,100,627.52,NA
"2106",6680,1700-01-01,9999-12-31,114924,"Saentis","1700-01-01 00:00:00","9999-12-31 00:00:00",13314,"1700-01-01 00:00:00","9999-12-31 00:00:00",2502,9.34361,47.24944,100,1044.98,100,1117.98,NA
"2107",6681,1700-01-01,9999-12-31,114925,"St. Gallen","1700-01-01 00:00:00","9999-12-31 00:00:00",13315,"1700-01-01 00:00:00","9999-12-31 00:00:00",776,9.39833,47.42555,100,732.09,100,729,NA
"2108",6682,1700-01-01,9999-12-31,115045,"Elm","1700-01-01 00:00:00","9999-12-31 00:00:00",13466,"1700-01-01 00:00:00","9999-12-31 00:00:00",958,9.17527,46.92388,100,1765.12,100,1800.93,NA
"2109",6683,1700-01-01,9999-12-31,115046,"Schmerikon","1700-01-01 00:00:00","9999-12-31 00:00:00",13467,"1700-01-01 00:00:00","9999-12-31 00:00:00",408,8.94027,47.22472,100,789.04,100,759.88,NA
"2111",6685,1700-01-01,9999-12-31,115047,"Glarus","1700-01-01 00:00:00","9999-12-31 00:00:00",13468,"1700-01-01 00:00:00","9999-12-31 00:00:00",517,9.06694,47.03472,100,1453.01,100,1501.72,NA
"2112",6686,1700-01-01,9999-12-31,115048,"Bad Ragaz","1700-01-01 00:00:00","9999-12-31 00:00:00",13469,"1700-01-01 00:00:00","9999-12-31 00:00:00",496,9.5015,47.01683,100,1330.36,100,1279.22,NA
"2113",6687,1700-01-01,9999-12-31,115049,"Quinten","1700-01-01 00:00:00","9999-12-31 00:00:00",13470,"1700-01-01 00:00:00","9999-12-31 00:00:00",420,9.21611,47.12888,100,1193.79,100,1211.29,NA
"2114",6688,1700-01-01,9999-12-31,115050,"Crap Masegn","1700-01-01 00:00:00","9999-12-31 00:00:00",13471,"1700-01-01 00:00:00","9999-12-31 00:00:00",2480,9.18,46.84222,100,1783.03,100,1781.46,NA
"2115",6689,1700-01-01,9999-12-31,115051,"Hoernli","1700-01-01 00:00:00","9999-12-31 00:00:00",13472,"1700-01-01 00:00:00","9999-12-31 00:00:00",1132,8.94166,47.37083,100,669.82,100,685.92,NA
"2116",6690,1700-01-01,9999-12-31,115052,"Altenrhein","1700-01-01 00:00:00","9999-12-31 00:00:00",13473,"1700-01-01 00:00:00","9999-12-31 00:00:00",398,9.56638,47.48361,100,551.1,100,526.85,NA
"2118",6693,1700-01-01,9999-12-31,115053,"Ebnat-Kappel","1700-01-01 00:00:00","9999-12-31 00:00:00",13474,"1700-01-01 00:00:00","9999-12-31 00:00:00",623,9.10861,47.27333,100,901.59,100,926.44,NA
"2119",6695,1700-01-01,9999-12-31,115054,"Andermatt","1700-01-01 00:00:00","9999-12-31 00:00:00",214152,"1700-01-01 00:00:00","9999-12-31 00:00:00",1438,8.58055,46.63083,100,2145.74,100,2208.14,NA
"2121",6700,1700-01-01,9999-12-31,114929,"Geneve-Cointrin","1700-01-01 00:00:00","9999-12-31 00:00:00",13319,"1700-01-01 00:00:00","9999-12-31 00:00:00",420,6.12777,46.2475,100,589.11,100,523.09,NA
"2123",6702,1700-01-01,9999-12-31,114930,"La Dole","1700-01-01 00:00:00","9999-12-31 00:00:00",13320,"1700-01-01 00:00:00","9999-12-31 00:00:00",1670,6.09944,46.42472,100,891.79,100,932.07,NA
"2125",6704,1700-01-01,9999-12-31,115056,"Biere","1700-01-01 00:00:00","9999-12-31 00:00:00",13477,"1700-01-01 00:00:00","9999-12-31 00:00:00",684,6.3425,46.525,100,675.43,100,698.52,NA
"2126",6705,1700-01-01,9999-12-31,115057,"Nyon / Changins","1700-01-01 00:00:00","9999-12-31 00:00:00",13478,"1700-01-01 00:00:00","9999-12-31 00:00:00",455,6.22777,46.40111,100,715.26,100,677.64,NA
"2127",6706,1700-01-01,9999-12-31,115058,"St-Prex","1700-01-01 00:00:00","9999-12-31 00:00:00",13479,"1700-01-01 00:00:00","9999-12-31 00:00:00",425,6.44305,46.48361,100,485.14,52.7,432.43,NA
"2128",6707,1700-01-01,9999-12-31,115059,"Montreux-Clarens","1700-01-01 00:00:00","9999-12-31 00:00:00",13480,"1700-01-01 00:00:00","9999-12-31 00:00:00",859,6.71,46.62166,100,636.55,99.1,668.77,NA
"2129",6708,1700-01-01,9999-12-31,115060,"Oron","1700-01-01 00:00:00","9999-12-31 00:00:00",13481,"1700-01-01 00:00:00","9999-12-31 00:00:00",830,6.85805,46.57222,100,795.23,100,826.67,NA
"2130",6709,1700-01-01,9999-12-31,115061,"Bouveret","1700-01-01 00:00:00","9999-12-31 00:00:00",13482,"1700-01-01 00:00:00","9999-12-31 00:00:00",375,6.85694,46.39333,100,987.39,100,849.03,NA
"2132",6711,1700-01-01,9999-12-31,115062,"Pully","1700-01-01 00:00:00","9999-12-31 00:00:00",13483,"1700-01-01 00:00:00","9999-12-31 00:00:00",456,6.6675,46.51222,100,536.23,40.5,525.58,NA
"2133",6712,1700-01-01,9999-12-31,114933,"Aigle","1700-01-01 00:00:00","9999-12-31 00:00:00",13323,"1700-01-01 00:00:00","9999-12-31 00:00:00",381,6.92444,46.32666,100,1192.47,100,1134.29,NA
"2135",6714,1700-01-01,9999-12-31,115063,"Les Diablerets","1700-01-01 00:00:00","9999-12-31 00:00:00",13484,"1700-01-01 00:00:00","9999-12-31 00:00:00",2966,7.20388,46.32694,100,1581.89,100,1648.34,NA
"2136",6715,1700-01-01,9999-12-31,115064,"Evionnaz","1700-01-01 00:00:00","9999-12-31 00:00:00",13485,"1700-01-01 00:00:00","9999-12-31 00:00:00",480,7.02666,46.18305,100,1465.94,100,1418.32,NA
"2138",6717,1700-01-01,9999-12-31,114934,"Col Du Grand St-Bern","1700-01-01 00:00:00","9999-12-31 00:00:00",13324,"1700-01-01 00:00:00","9999-12-31 00:00:00",2472,7.17083,45.86888,100,2290.49,100,2269.57,NA
"2141",6720,1700-01-01,9999-12-31,114937,"Sion","1700-01-01 00:00:00","9999-12-31 00:00:00",13327,"1700-01-01 00:00:00","9999-12-31 00:00:00",482,7.33027,46.21861,100,1732.47,100,1600.89,NA
"2142",6721,1700-01-01,9999-12-31,114938,"Fionnay","1700-01-01 00:00:00","9999-12-31 00:00:00",13328,"1700-01-01 00:00:00","9999-12-31 00:00:00",1448,8.19083,46.36555,100,2137.3,100,2076.37,NA
"2143",6722,1700-01-01,9999-12-31,115066,"Evolene / Villa","1700-01-01 00:00:00","9999-12-31 00:00:00",13487,"1700-01-01 00:00:00","9999-12-31 00:00:00",1825,7.50861,46.11222,100,2315.92,100,2374.31,NA
"2144",6723,1700-01-01,9999-12-31,115067,"Les Attelas","1700-01-01 00:00:00","9999-12-31 00:00:00",13488,"1700-01-01 00:00:00","9999-12-31 00:00:00",2733,7.26861,46.09916,100,1868.08,100,1791.1,NA
"2145",6724,1700-01-01,9999-12-31,114939,"Montana","1700-01-01 00:00:00","9999-12-31 00:00:00",13329,"1700-01-01 00:00:00","9999-12-31 00:00:00",1427,7.46083,46.29861,100,1775.55,100,1668.31,NA
"2146",6725,1700-01-01,9999-12-31,115068,"Blatten Loetschental","1700-01-01 00:00:00","9999-12-31 00:00:00",13489,"1700-01-01 00:00:00","9999-12-31 00:00:00",1538,7.82333,46.42055,100,2110.21,100,2175.25,NA
"2148",6727,1700-01-01,9999-12-31,115069,"Visp","1700-01-01 00:00:00","9999-12-31 00:00:00",13490,"1700-01-01 00:00:00","9999-12-31 00:00:00",639,7.84305,46.30277,100,2066.79,100,1965.23,NA
"2149",6728,1700-01-01,9999-12-31,115070,"Graechen","1700-01-01 00:00:00","9999-12-31 00:00:00",13491,"1700-01-01 00:00:00","9999-12-31 00:00:00",1605,7.83694,46.19527,100,2276.82,100,2299.11,NA
"2151",6730,1700-01-01,9999-12-31,114941,"Jungfraujoch","1700-01-01 00:00:00","9999-12-31 00:00:00",13331,"1700-01-01 00:00:00","9999-12-31 00:00:00",3580,7.98527,46.5475,100,2301,100,2494.65,NA
"2152",6731,1700-01-01,9999-12-31,115153,"Thun","1700-01-01 00:00:00","9999-12-31 00:00:00",13779,"1700-01-01 00:00:00","9999-12-31 00:00:00",570,7.58527,46.74972,100,863.94,100,910.88,NA
"2154",6733,1700-01-01,9999-12-31,115073,"Boltigen","1700-01-01 00:00:00","9999-12-31 00:00:00",13494,"1700-01-01 00:00:00","9999-12-31 00:00:00",820,7.38416,46.62361,100,1374.99,100,1457.94,NA
"2155",6734,1700-01-01,9999-12-31,114943,"Interlaken","1700-01-01 00:00:00","9999-12-31 00:00:00",13333,"1700-01-01 00:00:00","9999-12-31 00:00:00",577,7.87027,46.67222,100,1542.16,100,1497.12,NA
"2156",6735,1700-01-01,9999-12-31,115074,"Adelboden","1700-01-01 00:00:00","9999-12-31 00:00:00",13496,"1700-01-01 00:00:00","9999-12-31 00:00:00",1320,7.56111,46.49194,100,1784.04,100,1943.82,NA
"2159",6739,1700-01-01,9999-12-31,115076,"Eggishorn","1700-01-01 00:00:00","9999-12-31 00:00:00",13498,"1700-01-01 00:00:00","9999-12-31 00:00:00",2893,8.09277,46.42666,100,2301.44,100,2356.53,NA
"2160",6740,1700-01-01,9999-12-31,115077,"Titlis","1700-01-01 00:00:00","9999-12-31 00:00:00",13499,"1700-01-01 00:00:00","9999-12-31 00:00:00",3040,8.42583,46.77055,100,1873.31,100,1948.46,NA
"2163",6744,1700-01-01,9999-12-31,115078,"Grimsel Hospiz","1700-01-01 00:00:00","9999-12-31 00:00:00",13500,"1700-01-01 00:00:00","9999-12-31 00:00:00",1980,8.33333,46.57166,100,2344.01,100,2349.45,NA
"2164",6745,1700-01-01,9999-12-31,115079,"Ulrichen","1700-01-01 00:00:00","9999-12-31 00:00:00",13501,"1700-01-01 00:00:00","9999-12-31 00:00:00",1346,8.30805,46.50472,100,2370.74,100,2414.05,NA
"2165",6747,1700-01-01,9999-12-31,115154,"Monte Rosa","1700-01-01 00:00:00","9999-12-31 00:00:00",13783,"1700-01-01 00:00:00","9999-12-31 00:00:00",2885,7.81472,45.95666,100,2683.69,100,2757.66,NA
"2166",6748,1700-01-01,9999-12-31,115080,"Zermatt","1700-01-01 00:00:00","9999-12-31 00:00:00",13502,"1700-01-01 00:00:00","9999-12-31 00:00:00",1638,7.75305,46.02916,100,2759.19,100,2912.7,NA
"2167",6749,1700-01-01,9999-12-31,115081,"Gornergrat","1700-01-01 00:00:00","9999-12-31 00:00:00",13503,"1700-01-01 00:00:00","9999-12-31 00:00:00",3129,7.78583,45.98361,100,2767.8,100,2887.95,NA
"2168",6750,1700-01-01,9999-12-31,114946,"Guetsch Ob Andermatt","1700-01-01 00:00:00","9999-12-31 00:00:00",13336,"1700-01-01 00:00:00","9999-12-31 00:00:00",2283,8.615,46.6525,100,2078.92,100,2139.72,NA
"2169",6751,1700-01-01,9999-12-31,115082,"Robiei","1700-01-01 00:00:00","9999-12-31 00:00:00",13504,"1700-01-01 00:00:00","9999-12-31 00:00:00",1895,8.51333,46.44305,100,1998.3,100,2053.9,NA
"2170",6752,1700-01-01,9999-12-31,115083,"Cevio","1700-01-01 00:00:00","9999-12-31 00:00:00",13505,"1700-01-01 00:00:00","9999-12-31 00:00:00",416,8.60333,46.32027,100,1559.62,100,1645.38,NA
"2171",6753,1700-01-01,9999-12-31,114947,"Piotta","1700-01-01 00:00:00","9999-12-31 00:00:00",13337,"1700-01-01 00:00:00","9999-12-31 00:00:00",990,8.68805,46.51472,100,1949.33,100,1964.95,NA
"2172",6754,1700-01-01,9999-12-31,115084,"Matro","1700-01-01 00:00:00","9999-12-31 00:00:00",13506,"1700-01-01 00:00:00","9999-12-31 00:00:00",2171,8.92472,46.41,100,1683.27,100,1582.99,NA
"2173",6756,1700-01-01,9999-12-31,114948,"Acquarossa / Comprovasco","1700-01-01 00:00:00","9999-12-31 00:00:00",13338,"1700-01-01 00:00:00","9999-12-31 00:00:00",575,8.93555,46.45944,100,1823.31,100,1769.36,NA
"2175",6758,1700-01-01,9999-12-31,115086,"Grono","1700-01-01 00:00:00","9999-12-31 00:00:00",13508,"1700-01-01 00:00:00","9999-12-31 00:00:00",324,9.16361,46.255,100,1335.62,100,1340.02,NA
"2176",6759,1700-01-01,9999-12-31,114949,"Cimetta","1700-01-01 00:00:00","9999-12-31 00:00:00",13339,"1700-01-01 00:00:00","9999-12-31 00:00:00",1661,8.79166,46.20055,100,1027.14,100,938.61,NA
"2177",6760,1700-01-01,9999-12-31,167577,"Locarno / Monti","1700-01-01 00:00:00","9999-12-31 00:00:00",46254,"1700-01-01 00:00:00","9999-12-31 00:00:00",367,8.7875,46.1725,100,948.75,100,857.88,NA
"2180",6770,1700-01-01,9999-12-31,114952,"Lugano","1700-01-01 00:00:00","9999-12-31 00:00:00",352950,"1700-01-01 00:00:00","9999-12-31 00:00:00",273,8.96027,46.00416,100,687.62,100,703.6,NA
"2181",6771,1700-01-01,9999-12-31,114953,"Stabio","1700-01-01 00:00:00","9999-12-31 00:00:00",13343,"1700-01-01 00:00:00","9999-12-31 00:00:00",353,8.93222,45.84333,100,487.55,100,502.21,NA
"2184",6777,1700-01-01,9999-12-31,115087,"Monte Generoso","1700-01-01 00:00:00","9999-12-31 00:00:00",13509,"1700-01-01 00:00:00","9999-12-31 00:00:00",1600,9.01777,45.9275,100,634.83,100,669.3,NA
"2185",6778,1700-01-01,9999-12-31,115088,"Buffalora","1700-01-01 00:00:00","9999-12-31 00:00:00",13510,"1700-01-01 00:00:00","9999-12-31 00:00:00",1968,10.26722,46.64805,100,2235.21,100,2241.45,NA
"2186",6779,1700-01-01,9999-12-31,115089,"Segl-Maria","1700-01-01 00:00:00","9999-12-31 00:00:00",13511,"1700-01-01 00:00:00","9999-12-31 00:00:00",1804,9.76222,46.43222,100,2353.82,100,2459.94,NA
"2187",6780,1700-01-01,9999-12-31,115090,"Weissfluhjoch","1700-01-01 00:00:00","9999-12-31 00:00:00",13512,"1700-01-01 00:00:00","9999-12-31 00:00:00",2690,9.80638,46.83333,100,1949.51,100,1993.55,NA
"2189",6782,1700-01-01,9999-12-31,114956,"Disentis / Sedrun","1700-01-01 00:00:00","9999-12-31 00:00:00",13346,"1700-01-01 00:00:00","9999-12-31 00:00:00",1197,8.85333,46.70666,100,2028.95,100,2079.06,NA
"2190",6783,1700-01-01,9999-12-31,114957,"S. Bernardino","1700-01-01 00:00:00","9999-12-31 00:00:00",13347,"1700-01-01 00:00:00","9999-12-31 00:00:00",1639,9.18472,46.46361,100,1997.23,100,2119.15,NA
"2191",6784,1700-01-01,9999-12-31,115091,"Davos","1700-01-01 00:00:00","9999-12-31 00:00:00",13513,"1700-01-01 00:00:00","9999-12-31 00:00:00",1594,9.84361,46.81305,100,2056.38,100,2121.21,NA
"2193",6786,1700-01-01,9999-12-31,114958,"Chur","1700-01-01 00:00:00","9999-12-31 00:00:00",13348,"1700-01-01 00:00:00","9999-12-31 00:00:00",556,9.53055,46.87027,100,1487.51,100,1405.98,NA
"2194",6787,1700-01-01,9999-12-31,115135,"Andeer","1700-01-01 00:00:00","9999-12-31 00:00:00",13719,"1700-01-01 00:00:00","9999-12-31 00:00:00",987,9.43194,46.61,100,1914.56,100,1951.26,NA
"2195",6788,1700-01-01,9999-12-31,115093,"Hinterrhein","1700-01-01 00:00:00","9999-12-31 00:00:00",13515,"1700-01-01 00:00:00","9999-12-31 00:00:00",1089,9.62777,46.35305,100,2085.41,100,2255.26,NA
"2196",6789,1700-01-01,9999-12-31,115156,"Vicosoprano / Loebbia","1700-01-01 00:00:00","9999-12-31 00:00:00",13792,"1700-01-01 00:00:00","9999-12-31 00:00:00",698,9.21527,46.775,100,1593.2,100,1606.29,NA
"2197",6790,1700-01-01,9999-12-31,114960,"St.Moritz","1700-01-01 00:00:00","9999-12-31 00:00:00",13350,"1700-01-01 00:00:00","9999-12-31 00:00:00",626,9.66805,46.97555,100,1462.98,100,1482.53,NA
"2198",6791,1700-01-01,9999-12-31,114961,"Piz Corvatsch","1700-01-01 00:00:00","9999-12-31 00:00:00",13351,"1700-01-01 00:00:00","9999-12-31 00:00:00",3305,9.82111,46.41805,100,2367.28,100,2508.58,NA
"2199",6792,1700-01-01,9999-12-31,114962,"Samedan","1700-01-01 00:00:00","9999-12-31 00:00:00",13352,"1700-01-01 00:00:00","9999-12-31 00:00:00",1709,9.87888,46.52638,100,2408.21,100,2425.4,NA
"2200",6793,1700-01-01,9999-12-31,115094,"Valbella","1700-01-01 00:00:00","9999-12-31 00:00:00",13516,"1700-01-01 00:00:00","9999-12-31 00:00:00",1560,9.55388,46.75555,100,1630.38,100,1597.76,NA
"2201",6794,1700-01-01,9999-12-31,114963,"Poschiavo / Robbia","1700-01-01 00:00:00","9999-12-31 00:00:00",13353,"1700-01-01 00:00:00","9999-12-31 00:00:00",1078,10.06111,46.34666,100,2144.08,100,2217.2,NA
"2202",6795,1700-01-01,9999-12-31,115095,"Piz Martegnas","1700-01-01 00:00:00","9999-12-31 00:00:00",13517,"1700-01-01 00:00:00","9999-12-31 00:00:00",2670,9.52944,46.57722,100,2030.89,100,2044.81,NA
"2203",6796,1700-01-01,9999-12-31,115096,"Sta. Maria Val Muestair","1700-01-01 00:00:00","9999-12-31 00:00:00",13518,"1700-01-01 00:00:00","9999-12-31 00:00:00",1383,10.42638,46.60222,100,2171.53,100,2158.84,NA
"2205",6798,1700-01-01,9999-12-31,115098,"Scuol","1700-01-01 00:00:00","9999-12-31 00:00:00",13520,"1700-01-01 00:00:00","9999-12-31 00:00:00",1304,10.28333,46.79333,100,2249.36,100,2237.77,NA
"2206",6799,1700-01-01,9999-12-31,115099,"Naluns / Schlivera","1700-01-01 00:00:00","9999-12-31 00:00:00",13521,"1700-01-01 00:00:00","9999-12-31 00:00:00",2400,10.26138,46.81722,100,2272.86,100,2273.14,NA
"2244",6990,1700-01-01,9999-12-31,114964,"Vaduz","1700-01-01 00:00:00","9999-12-31 00:00:00",13354,"1700-01-01 00:00:00","9999-12-31 00:00:00",457,9.5175,47.1275,100,1125.83,100,1073.5,NA
"2245",7002,1700-01-01,9999-12-31,115163,"Boulogne","1700-01-01 00:00:00","9999-12-31 00:00:00",13865,"1700-01-01 00:00:00","9999-12-31 00:00:00",73,1.59972,50.7325,79.8,42.59,79.8,32.46,NA
"2246",7003,1700-01-01,9999-12-31,115164,"Le Touquet","1700-01-01 00:00:00","9999-12-31 00:00:00",13866,"1700-01-01 00:00:00","9999-12-31 00:00:00",6,1.62277,50.51444,98.2,29.53,98.2,33.56,NA
