"","wmon","membership_start","membership_end","fmisid","station_name","station_start","sattion_end","loc_id","loc_start","loc_end","h","lon","lat","lsm","z_oro","lsm_41r2","z_oro_41r2","lpnn"
"35",1044,1700-01-01,9999-12-31,132093,"Hasvik Lufthavn","1700-01-01 00:00:00","9999-12-31 00:00:00",32309,"1700-01-01 00:00:00","9999-12-31 00:00:00",6,22.14611,70.48611,0,18.92,0,23.16,NA
"36",1045,1700-01-01,9999-12-31,113919,"Nordstraum I Kv","1700-01-01 00:00:00","9999-12-31 00:00:00",11901,"1700-01-01 00:00:00","9999-12-31 00:00:00",6,21.88333,69.83333,100,374.84,100,321.26,NA
"37",1046,1700-01-01,9999-12-31,113925,"Sorkjosen","1700-01-01 00:00:00","9999-12-31 00:00:00",11907,"1700-01-01 00:00:00","9999-12-31 00:00:00",6,20.95527,69.78861,100,326.25,80.2,326.52,NA
"38",1047,1700-01-01,9999-12-31,113926,"Kautokeino","1700-01-01 00:00:00","9999-12-31 00:00:00",11909,"1700-01-01 00:00:00","9999-12-31 00:00:00",307,23.03333,68.99666,100,405.56,100,394.99,NA
"39",1049,1700-01-01,9999-12-31,113927,"Alta Lufthavn","1700-01-01 00:00:00","9999-12-31 00:00:00",11910,"1700-01-01 00:00:00","9999-12-31 00:00:00",3,23.35805,69.9775,100,238.3,100,184.21,NA
"41",1052,1700-01-01,9999-12-31,113929,"Hammerfest Ap","1700-01-01 00:00:00","9999-12-31 00:00:00",11912,"1700-01-01 00:00:00","9999-12-31 00:00:00",81,23.67694,70.68055,23.1,79.08,55.6,82.93,NA
"42",1055,1700-01-01,9999-12-31,113930,"Fruholmen Lh","1700-01-01 00:00:00","9999-12-31 00:00:00",11914,"1700-01-01 00:00:00","9999-12-31 00:00:00",13,23.98166,71.09333,0,8.49,0,3.38,NA
"43",1057,1700-01-01,9999-12-31,113931,"Cuovddatmohkki","1700-01-01 00:00:00","9999-12-31 00:00:00",11915,"1700-01-01 00:00:00","9999-12-31 00:00:00",286,24.43305,69.36694,100,372.02,100,363.98,NA
"44",1058,1700-01-01,9999-12-31,113955,"Suolovuopmi Lul","1700-01-01 00:00:00","9999-12-31 00:00:00",11939,"1700-01-01 00:00:00","9999-12-31 00:00:00",381,23.53444,69.57944,100,469.27,100,468.3,NA
"45",1059,1700-01-01,9999-12-31,113932,"Banak","1700-01-01 00:00:00","9999-12-31 00:00:00",11916,"1700-01-01 00:00:00","9999-12-31 00:00:00",5,24.98972,70.06,100,290.95,100,234.27,NA
"46",1062,1700-01-01,9999-12-31,136828,"Hopen","1700-01-01 00:00:00","9999-12-31 00:00:00",33907,"1700-01-01 00:00:00","9999-12-31 00:00:00",6,25.01305,76.50944,0,0.53,0,0.96,NA
"48",1065,1700-01-01,9999-12-31,113934,"Karasjok","1700-01-01 00:00:00","9999-12-31 00:00:00",11918,"1700-01-01 00:00:00","9999-12-31 00:00:00",131,25.50222,69.46333,100,291.54,100,276.72,NA
"50",1068,1700-01-01,9999-12-31,113936,"Honningsvag/Valan","1700-01-01 00:00:00","9999-12-31 00:00:00",11920,"1700-01-01 00:00:00","9999-12-31 00:00:00",13,25.97805,71.01055,0,67.37,0,70.33,NA
"51",1074,1700-01-01,9999-12-31,113937,"Mehamn","1700-01-01 00:00:00","9999-12-31 00:00:00",11921,"1700-01-01 00:00:00","9999-12-31 00:00:00",13,27.82972,71.03305,73.6,155.32,73.6,173.77,NA
"53",1076,1700-01-01,9999-12-31,154010,"Tanabru","1700-01-01 00:00:00","9999-12-31 00:00:00",41248,"1700-01-01 00:00:00","9999-12-31 00:00:00",32,28.15861,70.21222,100,153.89,100,143.01,NA
